homelat,homelon,n
57.4684,18.4867,268
56.8967,12.8034,1827
63.1712,14.9592,1152
57.3708,14.3439,4746
57.235,16.1849,786
56.7183,14.4115,1181
66.8309,20.3992,1615
59.535,15.0066,2539
58.3454,15.5198,3584
55.9903,13.5958,3826
59.0336,16.7519,2397
59.6025,18.1384,23575
60.0092,17.2715,3602
59.7294,13.2354,1064
65.3337,16.5162,919
63.4276,17.7292,1803
59.6714,16.2159,2673
58.2528,13.0596,18742
37.5443,-4.7278,16308
41.5976,-0.9057,18870
43.3614,-5.8593,2606
39.710358,2.995148,2934
39.484,-0.7533,14439
28.2916,-16.6291,2743
43.1828,-3.9878,2623
39.2796,-3.0977,19028
41.8357,-4.3976,20922
41.5912,1.5209,84952
35.8894,-5.3213,166
39.4937,-6.0679,3513
42.5751,-8.1339,9926
42.2871,2.5396,4220
40.4168,-3.7038,79262
35.2923,-2.9381,148
37.9922,-1.1307,2700
42.6954,-1.6761,7084
42.9896,-2.6189,17411
null,null,0
50.5039,4.4699,72016
26.8206,30.8025,95006
32.4279,53.6880,320117
31.0461,34.8516,79559
33.8547,35.8623,5672
33.2232,43.6793,140603
21.4735,55.9754,80713
33.9391,67.7100,36896
26.0667,50.5577,42889
29.3117,47.4818,70045
47.5162,14.5501,21696
28.0339,1.6596,33626
45.1000,15.2000,5404
46.8182,8.2275,36108
34.027401,73.947253,2116
28.328491999999997,65.898403,11793
35.792146,74.982138,2234
33.665087,73.121219,15141
34.485332,72.09169,34359
30.811346,72.13913199999998,93847
26.009446,68.77680699999999,122373
42.3154,43.3569,1206
39.0742,21.8243,5123
41.6086,21.7453,11399
60.4720,8.4689,9468
45.9432,24.9668,57895
56.2639,9.5018,14306
61.8926,-6.9118,266
71.7069,-42.6043,14
58.5953,25.0136,2124
12.5211,-69.9683,263
12.1784,-68.2385,13
12.1696,-68.9900,31
52.862485,6.6184350000000025,562
52.550383,5.515162,1041
53.087337,5.7925,657
52.061738,5.939114,6691
53.217921999999994,6.741514,411
51.209227,5.93387,4951
51.561174,5.1849419999999995,10416
52.60090600000001,4.9186879999999995,8791
52.444557999999994,6.441722,3213
18.0425,-63.0548,176
null,null,529
52.084251,5.163824,4531
51.47936,3.8615589999999997,901
51.937835,4.462114,14288
43.9424,12.4578,699
40.1431,47.5769,33247
53.7098,27.9534,68503
64.9631,-19.0208,1932
55.1694,23.8813,2171
-40.9006,174.8860,1569
9.0820,8.6753,45244
53.1424,-7.6921,26372
49.8153,6.1296,7073
43.7384,7.4246,125
25.3548,51.1839,112092
-1.8312,-78.1834,90537
49.8175,15.4730,17731
40.0691,45.0382,39819
18.7357,-70.1627,76536
-0.7893,113.9213,118753
39.3999,-8.2245,52061
42.5063,1.5218,944
56.8796,24.6032,1275
31.7917,-7.0926,29644
23.8859,45.0792,284226
14.4974,-14.4524,10715
-38.4161,-63.6167,228195
-23.6509,-70.3975,15578
-38.9489,-72.3311,4314
-18.594,-69.4785,4825
-23.8634,-69.1328,3285
-45.9864,-73.7669,84
-37.4464,-72.1416,12271
-29.959,-71.3389,6951
-41.9198,-72.1416,4552
-40.231,-72.3311,933
-52.368,-70.9863,1934
-35.5183,-71.6885,9524
-33.4376,-70.6505,259922
-36.7226,-71.7622,3656
-48.4674,-72.5592,11088
-19.9232,-69.5132,9167
null,null,68
-33.0472,-71.6127,18519
30.5852,36.2384,1232
49.4444,32.0598,969
51.4982,31.2893,937
48.2917,25.9352,6383
45.2835,34.2008,1347
48.4647,35.0462,1492
48.0159,37.8028,941
