homelat,homelon,n
45.73750286,7.320149366,1210
3.8009,-76.6413,29754
-33.0472,-71.6127,18519
59.7294,13.2354,1064
65.3337,16.5162,919
63.4276,17.7292,1803
59.6714,16.2159,2673
58.2528,13.0596,18742
0.8554,-70.812,61
45.43490485,12.33845213,20352
19.1738,-96.1342,22953
4.4234,-69.2878,13
-37.8136,144.9631,13867
49.2331,28.4682,2898
18.3358,-64.8963,501
56.0503336,40.6561633,5725
49.6048339,44.29035820000001,9711
60.0391461,43.1215213,2571
50.7472,25.3254,4108
50.9800393,40.15065070000001,11705
33.911879,135.505446,173
52.1307,-3.7837,17389
23.814082,87.979803,86754
-31.9505,115.8605,642
41.1129,85.2401,799
38.448396,140.102154,76
34.201190000000004,131.573293,64
67.1471631,74.3415488,11621
35.612364,138.61148899999998,123
57.77819760000001,39.0021095,6268
20.7099,-89.0943,11045
64.2823,-135.0,14
24.9740,101.4870,191
52.248521,115.956325,4153
22.7709,-102.5832,3134
48.6208,22.2879,5539
47.8388,35.1396,890
51.47936,3.8615589999999997,901
29.1832,120.0934,1270
50.2547,28.6587,2036
51.937835,4.462114,14288
33.9391,67.7100,36896
41.1533,20.1683,6016
28.0339,1.6596,33626
42.5063,1.5218,944
-11.2027,17.8739,1483
17.0608,-61.7964,92
-38.4161,-63.6167,228195
40.0691,45.0382,39819
47.5162,14.5501,21696
40.1431,47.5769,33247
24.2500,-76.0000,761
26.0667,50.5577,42889
23.6850,90.3563,249651
13.1939,-59.5432,133
53.7098,27.9534,68503
50.5039,4.4699,72016
13.1939,-59.5432,114
9.3077,2.3158,1936
27.5142,90.4336,108
-16.2902,-63.5887,86423
43.9159,17.6791,13396
-22.3285,24.6849,804
4.5353,114.7277,141
42.7339,25.4858,13014
12.2383,-1.5616,1158
21.9162,95.956,357
-3.3731,29.9189,400
15.1111,-23.6167,2734
12.5657,104.9910,243
3.8480,11.5021,17718
6.6111,20.9394,4620
15.4542,18.7322,942
-11.6455,43.3333,396
-1.4400,15.5560,3546
-4.0383,21.7587,9309
9.7489,-83.7534,21070
7.5400,-5.5471,16447
45.1000,15.2000,5404
21.5218,-77.7812,2775
35.1264,33.4299,1208
49.8175,15.4730,17731
56.2639,9.5018,14306
0.0,0.0,712
11.8251,42.5903,5330
15.4150,-61.3710,18
18.7357,-70.1627,76536
-1.8312,-78.1834,90537
26.8206,30.8025,95006
13.7942,-88.8965,19126
1.6508,10.2679,4821
15.1794,39.7823,282
58.5953,25.0136,2124
-26.5225,31.4659,2968
9.1450,40.4897,20900
-17.7134,178.0650,27
61.9241,25.7482,7532
47.0000,2.0000,218763
-0.8037,11.6094,7787
13.4667,-16.6000,935
42.3154,43.3569,1206
7.9465,-1.0232,39642
39.0742,21.8243,5123
12.1165,-61.6790,24
15.7835,-90.2308,54339
9.9456,-9.6966,7664
11.8037,-15.1804,2032
4.8604,-58.9302,538
18.9712,-72.2852,7582
41.9029,12.4534,12
15.2000,-86.2419,45755
47.1625,19.5033,4597
64.9631,-19.0208,1932
-0.7893,113.9213,118753
32.4279,53.6880,320117
33.2232,43.6793,140603
53.1424,-7.6921,26372
31.0461,34.8516,79559
18.1096,-77.2975,958
30.5852,36.2384,1232
48.0196,66.9237,96922
-0.0236,37.9062,24411
35.9078,127.7669,14519
42.6026,20.9030,9688
29.3117,47.4818,70045
41.2044,74.7661,38659
19.856270000000002,102.495496,20
56.8796,24.6032,1275
